Title,url,year
"Christopher Dumond & Cameo McHenry ""Dancing On My Own"" - Inv. Jack&Jill - TAP The After Party 2021",https://www.youtube.com//watch?v=GPwHdS4AvS4,2021
"Ben Morris & Brandi Guild ""Shivers"" Ed Sheeran - Invitational Jack&Jill - TAP The After Party 2021",https://www.youtube.com//watch?v=qW51suNmHkE,2021
"Jakub Jakoubek & Emeline Rochefeuille ""Ocean"" - Routine - Budafest 2020",https://www.youtube.com//watch?v=sf35lL5b7Z8,2020
"International Rally West Coast Swing 2020, SLC, Utah, PG Water Tower",https://www.youtube.com//watch?v=psweMc7t4BU,2020
"JT Swing Team SLC, JV Season 4, Think, SLC Utah performed at the PG Water Tower in 2020",https://www.youtube.com//watch?v=caxUfjX5Pnc,2020
Jordan Frisbee & Anna Maria Mezei - Pro-Winner Jack&Jill - Budafest 2020,https://www.youtube.com//watch?v=BA3rAMBdCo0,2020
Tony Schubert & Estelle Bonnaire - Strictly Open - Budafest 2020,https://www.youtube.com//watch?v=-pzABkn3TPc,2020
MADjam 2020 Switch It Up Jack & Jill Erica Smith & Dillon Luther,https://www.youtube.com//watch?v=vlWQBAYB6Io,2020
Paolo Iannello & Benji Schwimmer - Pro-Winner Jack&Jill - Budafest 2020,https://www.youtube.com//watch?v=g4U8FVTWaAE,2020
West Coast Swing - Ben Morris & Torri Zzaoui - Rose City Swing 2020 Champions Strictly 1st Place,https://www.youtube.com//watch?v=TL7TwYGblSw,2020
"JT Swing Team SLC, Varsity Season 5, Castle on the Hill High performed in 2020",https://www.youtube.com//watch?v=WZ-jZZbANfQ,2020
Ryan Boz and Estelle Bonnaire | 2nd Place All Star Strictly (Liberty Swing 2019),https://www.youtube.com//watch?v=5wLSg-40ZuU,2019
Swingtacular 2019 Champions JnJ - Jordan Frisbee and Alyssa Glanville 1st Place,https://www.youtube.com//watch?v=6UpkFOAnclI,2019
PWF 2019 - Jack&Jill All Star Final - Sylvain Pele & Coralie Chastel - 1st place,https://www.youtube.com//watch?v=zLXfrFlp0lE,2019
Jordan Frisbee & Torri Smith Zzaoui - 1st place Champions Strictly Finals - The Open 2019,https://www.youtube.com//watch?v=LAoMg_czTkA,2019
CSC 2019 - Classic Swing Couples - Ben McHenry and Cameo McHenry,https://www.youtube.com//watch?v=ozIBfxjsnX0,2019
SWINGesota 2019 - Tribute Division - Eric Byers & Christine Medin,https://www.youtube.com//watch?v=5ryh8PTu9yw,2019
Maxime Zzaoui & Tashina Beckmann-King - Champions Jack&Jill - D-Townswing 2019,https://www.youtube.com//watch?v=hKfCPa7tN94,2019
Swing Fling 2019 Open Strictly Swing Gregory Scott & Lemery Rollins,https://www.youtube.com//watch?v=42WaOnXEAx4,2019
